event_id,match_id,season_id,team_id,team_name,player_id,player_name,period,minute,second,play_pattern,location_x,location_y,distance_to_goal,angle_to_goal,n_teammates_in_frame,n_opponents_in_frame,keeper_x,keeper_y,under_pressure,first_time,open_goal,aerial_won,body_part_Head,body_part_Left Foot,body_part_Other,body_part_Right Foot,technique_Backheel,technique_Diving Header,technique_Half Volley,technique_Lob,technique_Normal,technique_Overhead Kick,technique_Volley,shot_type_Corner,shot_type_Free Kick,shot_type_Open Play,shot_type_Penalty
9c96de82-f1d1-462e-89c5-2592ccd9474f,8650,3,781,Brazil,4320,Neymar da Silva Santos Junior,1,29,35,From Free Kick,-0.7692307692307693,-1.4059753954305798,1.0284565541803035,0.7542974724086449,0.3333333333333333,1.0,-0.13333333333333522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ac8c6b39-5c99-4888-a127-771b1f8ffb90,8650,3,782,Belgium,3089,Kevin De Bruyne,1,30,48,Regular Play,-0.3076923076923077,0.9841827768014059,0.38435267412315544,-0.7177137182461754,-0.3333333333333333,-1.5,-0.13333333333333522,0.7407407407407399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
988bcc30-6cdf-4cc2-aaeb-4fdb283f52b9,8650,3,781,Brazil,3202,Gabriel Fernando de Jesus,1,35,4,Regular Play,0.3076923076923077,0.35149384885764495,-0.5029405640590832,-0.5033956405456494,-0.6666666666666666,-0.5,-0.13333333333333522,-0.37037037037036996,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50c2130c-0b88-4adb-bcf3-151d0359785e,8650,3,781,Brazil,3501,Philippe Coutinho Correia,1,36,36,From Corner,-0.6153846153846154,-1.3356766256590509,0.8626409308727169,0.7734272806087772,0.3333333333333333,0.5,1.1999999999999982,-0.37037037037036996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49b10b55-3be4-40e1-9e90-5e8c1d525430,8650,3,782,Belgium,3089,Kevin De Bruyne,1,40,36,From Free Kick,-0.5384615384615384,-1.4059753954305798,0.8573824639339265,0.8262535931155869,0.6666666666666666,1.0,0.5333333333333314,0.37037037037036996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0
dad9e7d3-5d77-44f1-abaf-b888b548c0b1,8650,3,782,Belgium,3101,Vincent Kompany,1,41,16,From Corner,0.6923076923076923,-0.5623901581722319,-0.6362546685463437,1.0989716177681192,0.0,1.0,1.1999999999999982,-0.37037037037036996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
7ad1c70f-45be-4af7-867c-836874972c57,8650,3,781,Brazil,3501,Philippe Coutinho Correia,2,51,42,From Throw In,-0.6923076923076923,-0.9138840070298769,0.6604058887766746,0.5585546937791919,-0.3333333333333333,0.0,-0.13333333333333522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e28f2341-8a5f-4a13-b930-248a56f810f8,8650,3,781,Brazil,5542,José Paulo Bezzera Maciel Júnior,2,54,2,Regular Play,0.8461538461538461,0.773286467486819,-0.4860381621341513,-1.4163815137103548,-1.0,-2.0,-0.13333333333333522,2.59259259259259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b550cc56-134d-4460-908d-ccda6b6b9899,8650,3,782,Belgium,3621,Eden Hazard,2,61,15,From Counter,0.15384615384615385,-0.9138840070298769,-0.005866138366802232,0.8961355570340394,-1.0,-2.0,-1.4666666666666686,-1.11111111111111,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abf2caba-6ade-4b58-be69-e812b86c1bcc,8650,3,781,Brazil,5837,Douglas Costa de Souza,2,61,47,Regular Play,0.46153846153846156,1.265377855887522,0.14726164246571477,-1.2513808063493126,-0.3333333333333333,-0.5,-0.8000000000000019,1.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41e1b1d7-a410-4b7d-8585-3675adede641,8650,3,781,Brazil,3501,Philippe Coutinho Correia,2,63,0,Regular Play,-0.6153846153846154,-0.28119507908611596,0.3505478702732916,0.19527215491852992,-0.3333333333333333,0.0,-0.13333333333333522,0.37037037037036996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
