player_id,player_name,primary_team,competitions_played,n_matches_played,total_minutes_played,shots_p90,np_goals_p90,avg_shot_distance,dribbles_p90,dribble_success_rate,touches_p90,touches_in_box_p90,passes_p90,pass_completion_pct,key_passes_p90,assists_p90,crosses_p90,through_balls_p90,long_balls_p90,avg_pass_length,pressures_p90,tackles_p90,tackle_success_rate,interceptions_p90,interception_success_rate,ball_recoveries_p90,clearances_p90,aerial_won_p90,fouls_committed_p90,fouls_won_p90,avg_location_x,avg_location_y,std_location_x,std_location_y
3339,Asmir Begović,Chelsea,Premier League,17,1472.0,-0.5658964110424543,-0.3973651641479937,0.0,-0.6911632058351953,0.0,-1.382195162217526,-0.4798210963967663,-0.9047000056998722,-1.9306270528961662,-0.7789597780634512,-0.4317229519419891,-0.4659467390352356,-0.5415846807314204,1.7327614053654605,5.813636373035893,-1.6878683762985691,-1.2834346909296313,0.0,-1.050517656745049,0.0,-0.625469762046102,-0.5439669083520798,-0.8851952301820702,-1.5393035465059481,-0.8295050183379654,-2.0655268701381115,-0.01664992452404276,-3.5833283307111916,-1.3424827620633777
5594,Branislav Ivanović,Chelsea,Premier League,33,3057.0,0.005617133759908364,-0.0028607480537840434,-0.10781694581049225,-0.3990858370599718,-0.43263553408480965,-0.16848425745915144,0.151963143812104,0.21699448018763753,0.49832164813865576,-0.3651942587973336,0.05451060361984277,0.1847889978843437,-0.5415846807314204,-0.06710883409180876,0.110922930417487,-0.3612304941960811,0.41171490637147207,0.368260869565217,0.18640081174787124,-0.9258259747669246,-0.5253796884827231,0.9425508374501198,0.6296842042305956,-0.2293437888570667,-0.4077144840988657,-0.09277519758682937,1.3085820119681641,1.0900997314333898,0.26054247985534656
3456,Kurt Happy Zouma,Chelsea,Premier League,23,2013.0,-0.0699438437411066,-0.09781225803771076,-0.39793733538964615,-0.49402670059793563,-0.43263553408480965,-0.778505751386654,0.07485851445911652,-0.4884972352485008,0.6424387846945042,-0.7789597780634512,-0.4317229519419891,-0.36192293859268304,-0.5415846807314204,-0.18137328015434678,0.5869960986427958,-0.9110819574195872,-0.32236150046375794,-0.6020962732919259,-0.025924848674907634,-1.867868349736129,-1.1236393040706214,2.3683402044491695,1.27004723254158,-1.0292156589121502,-0.6854243695286942,-0.8255863931230357,0.8488021462671138,-0.11480719572687025,-0.6903380977815177
3645,Gary Cahill,Chelsea,Premier League,23,2061.0,-0.14204466275016353,0.18778767427995405,-1.078920768664749,-0.5948905748204928,2.163177670424047,-0.7922312983856631,0.09122460707259118,-0.5129599073056844,0.9817585973046832,-0.6766727659013518,-0.4317229519419891,-0.4659467390352356,-0.34969512250644813,-0.4000652684687748,0.11906274150443644,-0.7258462091160395,-0.2441706321398294,0.5669705469845715,-0.3416669676586769,-0.1996075494810676,-0.5161152440814211,1.9807198861618063,1.2908090173827589,-0.3436040789934994,-0.2554464454069798,-0.8129169456888673,0.30293667637410543,-0.03521824382801912,-0.0761555305643009
3957,César Azpilicueta Tanco,Chelsea,Premier League,37,3351.0,-0.36107177478175334,-0.03747259476572003,-0.3803017123416517,-0.30628815319763586,-1.4310252281266775,0.44291081834483387,-0.1511188367418785,0.8988327212099739,0.4749642584504044,-0.24421939532345163,0.45542475283421013,0.33078523834717055,-0.069505445277325,0.07666481009564513,-0.18599572595503086,0.3016274791586436,1.4176554265771062,-0.8022734815798214,0.3856245155931947,-1.4783019540721727,-0.6013178545108484,0.7293160449348068,0.1621936813194936,-0.0684968604163289,-0.5133485524520148,-0.04212209943639238,-0.816408529520748,0.9571615776255473,1.3366946935932882
3478,Francesc Fàbregas i Soler,Chelsea,Premier League,37,3030.0,0.42257142853934054,0.1996645388223036,0.08443335916573558,-0.003576449573258362,-0.061805076297830275,2.570022256792414,0.8547644677053438,2.412248099753374,0.5276746474750014,1.3778783387843019,1.2852592024256106,0.3115281754110203,6.115083093059041,1.7544769379501002,0.14139605964324498,1.033853481419486,1.4073663371717449,-0.26750184229918955,-0.11456227105622294,0.5120281765018607,0.5334594743673461,-0.28064957475396823,-0.38646123900268825,-0.08211881177883384,0.3301990795548286,0.14219535491028576,-0.14168953288361633,0.1741379243452767,0.2912644936197019
3381,Nemanja Matić,Chelsea,Premier League,33,2510.0,0.2793223541776363,0.08311292350140849,0.5891320736310455,-0.03899284197035866,1.2192455960571904,0.9507807784574062,0.13936010224244913,0.9114593388645836,0.9732150166991644,-0.19103359301858736,0.16047464939367653,-0.1530982674851485,0.876486799553447,0.06896549159805146,-0.18568320469141153,0.3591171030130465,1.138994865870122,0.6032608695652166,0.5586747430611291,-0.5682085446274397,1.1949430090028226,0.25761611964951636,0.08586504052447612,0.015224854832696831,-0.33260674321600264,-0.1020088201217439,-0.4427324111720506,-0.18856147672407056,-0.0811164952174929
3958,Pedro Eliezer Rodríguez Ledesma,Chelsea,Premier League,29,2105.0,1.1829990331582332,1.6078604890586579,-0.0347266769788239,1.6417787608641958,0.06555083849769795,0.8022568326437711,1.5630784744196569,0.1457356012755957,0.3383243397403416,1.1739446757554057,0.27441290523260564,0.7029126176952085,0.02205101452036337,-0.3683385441586841,-0.4985031213446351,0.22787621181716433,0.0623449770160748,0.20996818663838787,-0.4789603622669665,0.1578769077164457,1.4193549016127935,-0.44509033859449093,-0.7694060957652802,-0.2710384699793829,1.2111550851638593,0.4317865917663786,-0.43482289657918577,0.445401382920266,0.7969897573601702
40122,Oscar dos Santos Emboaba Júnior,Chelsea,Premier League,27,1839.0,1.1645269989921518,0.25842602671660647,0.018633756295996645,1.304884108816291,-0.29232130681406093,1.148899730100219,1.5221709808434032,0.6123464641494619,0.41941685115495475,0.7686110119812323,0.780688124201993,0.6157819981932331,1.3939016789831078,-0.007253867059369858,-0.2840796068973975,0.5994288333007428,1.0835803976606662,0.21635610766045488,-0.34955744649314746,0.7500178291256591,0.21620955532198943,-0.16670539060742734,-0.38155342148174193,-0.31093202992199304,0.8237505248705151,0.3957070448490112,-0.523244961833608,0.019176425437823087,0.3452261128740983
3621,Eden Hazard,Chelsea,Premier League,31,2302.0,0.4099042689964809,0.6504193710388008,0.058078214165410334,1.7007119103533905,0.47940694317505883,1.7016207138611787,1.3685877841073522,0.8283813262372515,0.7974624893135249,2.0599713661801173,0.5368365480705138,0.6938485938094399,1.5200193827003878,-0.3774220510170602,-0.6461623323840389,-0.6482121073247282,-0.6531218111269151,0.47826086956521674,-0.56520471882173,0.48151668257573227,0.5705317586229766,-0.4836902853171176,-0.5463787187000988,-0.7810186811129263,1.8026580915554347,0.6385084742437628,-0.7026566295237608,-0.2433209941744807,0.596270754275087
