event_id,match_id,season_id,team_id,team_name,player_id,player_name,period,minute,second,play_pattern,location_x,location_y,distance_to_goal,angle_to_goal,n_teammates_in_frame,n_opponents_in_frame,keeper_x,keeper_y,under_pressure,first_time,open_goal,aerial_won,body_part_Head,body_part_Left Foot,body_part_Other,body_part_Right Foot,technique_Backheel,technique_Diving Header,technique_Half Volley,technique_Lob,technique_Normal,technique_Overhead Kick,technique_Volley,shot_type_Corner,shot_type_Free Kick,shot_type_Open Play,shot_type_Penalty
74935b33-b8d3-4ab4-919d-9a9ed80a3bcd,3869219,106,778,Japan,23721,Wataru Endo,2,56,56,From Throw In,94.4,52.9,28.666531007430944,-0.4667677236808665,5,10,119.1,41.7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
ddddef93-1105-425d-99f4-011605e72ad4,3869219,106,778,Japan,23721,Wataru Endo,2,59,48,Regular Play,90.0,41.9,30.060106453570658,-0.0632488575330731,7,11,118.6,40.2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
cda7fa73-f09c-46df-8e56-f4b6baa17185,3869219,106,778,Japan,37221,Hidemasa Morita,2,59,49,Regular Play,97.8,36.3,22.506221362103418,0.1651486774146269,6,10,118.4,39.3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
bb569056-5824-4a84-9bf7-098df409c1fb,3869219,106,778,Japan,8361,Ritsu Doan,2,59,52,Regular Play,100.4,43.7,19.94617757867406,-0.1865798557476334,6,9,118.9,41.2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
45501bff-d6b1-4cb6-a6b3-458e422a236a,3869219,106,785,Croatia,5463,Luka Modrić,2,62,13,Regular Play,96.3,48.9,25.316002844051035,-0.3592329910883036,5,10,118.7,40.6,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
31749268-4467-46db-b470-7e9125d6d734,3869219,106,785,Croatia,5474,Ivan Perišić,2,65,32,Regular Play,95.5,48.2,25.83582783655287,-0.32297454399348,6,10,117.9,41.1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
c0055f4a-4e53-4244-a1b0-af09963873fd,3869219,106,785,Croatia,5460,Andrej Kramarić,2,65,52,Regular Play,98.9,23.8,26.601691675530702,0.6547788261316799,7,10,118.5,37.3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
605589a6-a83f-4533-b88f-a8e775efa581,3869219,106,785,Croatia,8654,Ante Budimir,2,65,53,Regular Play,109.5,45.1,11.673045875006231,-0.4521538622857757,6,10,119.2,40.8,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
3e14ff6c-b675-4433-b70b-f1362675d101,3869219,106,785,Croatia,11603,Mario Pašalić,2,73,43,From Free Kick,107.5,44.5,13.285330255586423,-0.3455555805817121,5,11,118.9,40.5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
a99de16f-d5a2-4386-82e7-51dca208bd8c,3869219,106,785,Croatia,5474,Ivan Perišić,2,76,37,From Throw In,98.1,30.4,23.911712611187017,0.4131288322784013,2,8,116.0,38.5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
78a794a1-c48c-4699-904a-5ca28cb9cc15,3869219,106,785,Croatia,11603,Mario Pašalić,2,85,42,From Throw In,110.5,42.8,9.904039579888602,-0.2866212422254523,3,8,119.5,39.7,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
