player_id,player_name,primary_team,competitions_played,n_matches_played,total_minutes_played,primary_position
4590,Nathaniel Edwin Clyne,Liverpool,Premier League,33,3106.0,Right Back
18872,Martin Škrtel,Liverpool,Premier League,22,1973.0,Right Center Back
3471,Dejan Lovren,Liverpool,Premier League,24,1986.0,Left Center Back
7780,Lucas Pezzini Leiva,Liverpool,Premier League,27,2044.0,Center Defensive Midfield
3473,James Philip Milner,Liverpool,Premier League,28,2495.0,Right Center Midfield
3493,Emre Can,Liverpool,Premier League,30,2599.0,Left Center Midfield
3535,Roberto Firmino Barbosa de Oliveira,Liverpool,Premier League,31,2036.0,Center Attacking Midfield
3501,Philippe Coutinho Correia,Liverpool,Premier League,26,2051.0,Left Wing
3380,Christian Benteke Liolo,Liverpool,Premier League,29,1634.0,Center Forward
3635,Jordon Ibe,Liverpool,Premier League,27,1251.0,Right Wing
3515,Alberto Moreno Pérez,Liverpool,Premier League,32,2671.0,Left Back
20201,Maarten Stekelenburg,Southampton,Premier League,17,1598.0,Goalkeeper
3590,Rhu-endly Martina,Southampton,Premier League,15,1138.0,Right Back
3960,José Miguel da Rocha Fonte,Southampton,Premier League,37,3301.0,Right Center Back
3669,Virgil van Dijk,Southampton,Premier League,34,3203.0,Left Center Back
20045,Ryan Bertrand,Southampton,Premier League,32,3015.0,Left Back
3098,Victor Wanyama,Southampton,Premier League,30,2589.0,Right Defensive Midfield
16181,Jordy Clasie,Southampton,Premier League,22,1568.0,Left Defensive Midfield
3328,James Ward-Prowse,Southampton,Premier League,33,1653.0,Right Center Midfield
3629,Sadio Mané,Southampton,Premier League,37,2679.0,Center Attacking Midfield
3828,Steven Davis,Southampton,Premier League,34,2686.0,Center Attacking Midfield
3842,Shane Long,Southampton,Premier League,28,2210.0,Center Forward
3272,Oriol Romeu Vidal,Southampton,Premier League,29,1708.0,Left Defensive Midfield
3831,Dušan Tadić,Southampton,Premier League,34,2339.0,Left Wing
4090,Adam David Lallana,Liverpool,Premier League,30,2180.0,Center Attacking Midfield
