event_id,match_id,season_id,team_id,team_name,player_id,player_name,period,minute,second,play_pattern,location_x,location_y,distance_to_goal,angle_to_goal,under_pressure,body_part,technique,shot_type,first_time,aerial_won,open_goal,n_teammates_in_frame,n_opponents_in_frame,keeper_x,keeper_y,end_location_x,end_location_y,outcome,statsbomb_xg
fe08733c-664e-444f-9053-4753f4d98076,3857267,106,3565,Ecuador,37726,Moisés Isaac Caicedo Corozo,2,66,58,From Corner,117.2,35.6,5.215361924162116,1.0040671092713906,False,Right Foot,Volley,Open Play,True,False,True,5,11,119.5,40.1,120.0,36.9,Goal,0.5894187
7f414cf8-690c-4ce8-bdb4-7de35ddbd88b,3857267,106,787,Senegal,5675,Kalidou Koulibaly,2,69,30,From Free Kick,114.3,46.0,8.275868534480235,-0.8110335719191255,False,Right Foot,Volley,Open Play,True,False,False,5,9,118.6,41.6,120.0,38.2,Goal,0.23427999
4791bb90-e837-4f48-90e2-efede0479473,3857267,106,3565,Ecuador,31152,Gonzalo Jordy Plata Jiménez,2,75,48,From Throw In,107.0,42.8,13.29812016790343,-0.2121437530044754,False,Left Foot,Half Volley,Open Play,False,False,False,5,9,118.3,40.3,117.9,40.6,Saved,0.058988493
2bf8682f-e1ab-414c-8bc1-6980dc46c81c,3857267,106,787,Senegal,20611,Boulaye Dia,2,81,53,From Throw In,101.3,54.6,23.724459951703857,-0.6628915955810121,False,Right Foot,Normal,Open Play,True,False,False,6,9,117.2,42.9,120.0,45.1,Off T,0.04455093
5bfc0320-add5-41f5-8498-58bdb69b0879,3857267,106,787,Senegal,21026,Pape Gueye,2,87,46,From Free Kick,102.6,54.8,22.842942017174586,-0.7048276199336496,False,Right Foot,Normal,Open Play,False,False,False,5,9,116.2,43.5,116.1,44.0,Saved,0.03201506
2e8b83d3-8d70-4882-b24e-efe516fa2d28,3857267,106,3565,Ecuador,40211,Jeremy Leonel Sarmiento Morante,2,88,59,From Throw In,105.3,32.1,16.688319268278637,0.4931296807861497,False,Head,Normal,Open Play,False,False,False,4,10,117.5,38.6,117.3,40.5,Saved,0.02928531
965bcc85-5bae-4710-8ca7-9203417c49df,3857267,106,3565,Ecuador,51969,Jackson Gabriel Porozo Vernaza,2,93,53,From Throw In,105.9,34.3,15.208550226763887,0.38416936439259985,False,Head,Normal,Open Play,False,False,False,7,11,117.6,38.9,120.0,51.5,Off T,0.052534856
5628fb42-180e-4756-8655-b0bffc7ba8f0,3857287,106,783,Uruguay,5255,Matías Vecino Falero,1,12,38,From Throw In,109.5,28.6,15.498709623707386,0.8264709419879023,False,Head,Normal,Open Play,False,False,False,4,8,117.4,36.7,117.3,36.7,Saved,0.052239094
9a92c82b-99ac-46b4-be65-45a79d4650ed,3857287,106,783,Uruguay,6773,Federico Santiago Valverde Dipetta,1,18,45,From Goal Kick,103.9,35.4,16.744252745345186,0.2782996590051115,True,Left Foot,Half Volley,Open Play,False,False,False,4,8,117.9,39.5,120.0,43.8,Off T,0.05187739
ded873ac-89f3-4ae4-9b4f-96f0ce726233,3857287,106,791,South Korea,29966,Ui-Jo Hwang,1,33,36,From Throw In,108.9,42.7,11.423659658795858,-0.23860932250820133,False,Right Foot,Normal,Open Play,True,False,False,7,10,118.5,40.9,120.0,38.2,Off T,0.323128
57bb672a-cc1c-485e-9daf-ec52fd44a58a,3857287,106,791,South Korea,23763,In-Beom Hwang,1,38,40,From Throw In,89.7,57.6,35.04069063246328,-0.526225641987218,False,Right Foot,Normal,Open Play,False,False,False,5,9,118.3,40.4,120.0,36.5,Off T,0.007071261
5d9a7dee-a394-45bd-a788-6791bcb46e98,3857287,106,783,Uruguay,5249,Diego Roberto Godín Leal,1,42,50,From Corner,110.0,40.4,10.007996802557443,-0.0399786871232899,True,Head,Normal,Open Play,False,True,False,7,11,119.1,40.0,120.0,36.0,Post,0.054689027
5a203b40-fbdc-43d6-aaaf-39d78a9a2626,3857287,106,783,Uruguay,5259,José María Giménez de Vargas,1,45,10,From Free Kick,103.5,35.9,17.00176461429813,0.24355213057098948,False,Head,Normal,Open Play,False,False,False,7,10,118.7,38.9,120.0,50.1,Off T,0.046385217
b1309c1c-2272-43ac-a0a6-c9f358d70c18,3857287,106,791,South Korea,43565,Min Jae Kim,2,52,7,From Corner,111.5,46.1,10.462313319720453,-0.6224717045470757,False,Other,Normal,Open Play,False,False,False,7,11,118.5,41.2,116.9,38.6,Wayward,0.046898182
f9af0c77-987d-4a7e-9e86-a8474d6cc36a,3857287,106,783,Uruguay,5260,Rodrigo Bentancur Colmán,2,54,21,From Free Kick,101.3,38.3,18.777113729218346,0.09065988720074525,False,Right Foot,Normal,Open Play,False,False,False,7,11,118.7,40.5,103.9,38.5,Blocked,0.052523207
9d6785c3-3d7a-4124-83c6-700dcd524042,3857287,106,783,Uruguay,6773,Federico Santiago Valverde Dipetta,2,68,9,Regular Play,90.5,27.4,32.078185734233784,0.4036637885396797,False,Right Foot,Half Volley,Open Play,True,False,False,7,10,118.3,40.2,109.0,78.9,Wayward,0.014167523
637d7f05-74eb-4c8d-8217-53a8f5495e80,3857287,106,783,Uruguay,4319,Edinson Roberto Cavani Gómez,2,68,37,From Throw In,106.6,47.5,15.356106277308715,-0.510261049193416,False,Right Foot,Normal,Open Play,False,False,False,5,10,118.4,41.6,107.6,47.0,Blocked,0.03804607
108530c5-bc45-44f6-a676-961004913a8c,3857287,106,791,South Korea,22740,Kang-In Lee,2,74,42,From Goal Kick,94.5,54.2,29.187154708878357,-0.5080968401671542,False,Left Foot,Normal,Open Play,False,False,False,5,9,118.4,40.1,95.6,53.5,Blocked,0.023162797
70853b88-685a-4922-98d8-b3ba00afab40,3857287,106,791,South Korea,40542,Gue-Sung Cho,2,76,51,From Throw In,93.4,42.0,26.675082005497185,-0.07504676359644055,False,Left Foot,Half Volley,Open Play,False,False,False,3,8,116.5,41.6,120.0,46.6,Off T,0.036145955
